tournament_id,year,team,wc_ppg,wc_matches,cont_ppg,cont_n,comp_ppg,pre_elo
WC-2014,2014,Switzerland,1.75,4,,0,2.4,1875.8388928643035
WC-2014,2014,Spain,1.0,3,2.3333333333333335,6,2.388888888888889,2147.332619247808
WC-2014,2014,Chile,1.75,4,1.75,4,1.6,1963.2586572608957
WC-2014,2014,France,2.0,5,1.0,4,1.7692307692307692,1928.0925201954415
WC-2014,2014,Portugal,1.3333333333333333,3,2.0,5,2.3125,1974.932461732121
WC-2014,2014,Germany,2.142857142857143,7,2.4,5,2.642857142857143,2103.467399924062
WC-2014,2014,Russia,0.6666666666666666,3,1.3333333333333333,3,1.9166666666666667,1879.0083049171358
WC-2014,2014,Uruguay,1.5,4,2.0,6,1.3888888888888888,1970.1668394861863
WC-2014,2014,Ghana,0.3333333333333333,3,1.8333333333333333,6,2.2857142857142856,1805.2352145967043
WC-2014,2014,Greece,1.25,4,1.0,4,2.1333333333333333,1852.8661748702286
WC-2014,2014,England,0.3333333333333333,3,2.0,4,2.230769230769231,1955.85974199016
WC-2014,2014,Belgium,2.0,5,,0,2.6,1881.081040002675
WC-2014,2014,Honduras,0.0,3,1.8,5,1.6666666666666667,1755.149207862166
WC-2014,2014,Mexico,1.75,4,1.8,5,1.76,1897.2502866171403
WC-2014,2014,Colombia,2.4,5,1.75,4,2.090909090909091,1966.2362426741076
WC-2014,2014,Italy,1.0,3,1.5,6,1.9,1927.5295766635495
WC-2014,2014,United States,1.25,4,3.0,6,2.380952380952381,1929.450894314986
WC-2014,2014,Costa Rica,1.8,5,1.5,4,1.9166666666666667,1785.7601744358337
WC-2014,2014,Cameroon,0.0,3,,0,2.2142857142857144,1746.7240200632432
WC-2018,2018,Tunisia,1.0,3,1.5,4,2.1666666666666665,1765.0659839732502
WC-2018,2018,Croatia,1.7142857142857142,7,1.75,4,1.8666666666666667,1902.82228988811
WC-2018,2018,Senegal,1.3333333333333333,3,2.0,4,2.3333333333333335,1854.4905960119568
WC-2018,2018,Japan,1.0,4,2.5,4,2.0,1782.6047334534192
WC-2018,2018,Brazil,2.0,5,1.3333333333333333,3,2.4615384615384617,2189.065474052413
WC-2018,2018,Australia,0.3333333333333333,3,2.5,6,1.7058823529411764,1830.062925271759
WC-2018,2018,Poland,1.0,3,1.8,5,2.2142857142857144,1874.624535659
WC-2018,2018,Denmark,1.5,4,,0,2.0,1882.4403570700983
WC-2018,2018,Argentina,1.0,4,2.6666666666666665,6,1.7647058823529411,2047.2646576714228
WC-2018,2018,South Korea,1.0,3,2.5,6,1.6923076923076923,1786.4642652289212
WC-2018,2018,Nigeria,1.0,3,,0,2.0,1733.001981491599
WC-2018,2018,Peru,1.0,3,2.0,4,1.8,2004.6747946035002
WC-2018,2018,Iran,1.3333333333333333,3,2.5,4,2.2,1883.3106941446852
WC-2018,2018,Switzerland,1.25,4,1.5,4,2.2666666666666666,1932.8471184256566
WC-2018,2018,Panama,0.0,3,1.75,4,1.4444444444444444,1773.9349361167058
WC-2018,2018,Egypt,0.0,3,1.8333333333333333,6,1.8461538461538463,1746.7192358119837
WC-2018,2018,Spain,1.5,4,1.5,4,2.3846153846153846,2088.402468721644
WC-2018,2018,France,2.7142857142857144,7,2.2857142857142856,7,2.25,2027.4045928533137
WC-2018,2018,Morocco,0.3333333333333333,3,1.5,4,1.75,1818.1453560671848
WC-2018,2018,Portugal,1.25,4,1.8571428571428572,7,2.3181818181818183,2022.502468523096
WC-2018,2018,Russia,1.6,5,0.3333333333333333,3,0.6,1733.808704039881
WC-2018,2018,Germany,1.0,3,1.8333333333333333,6,2.55,2124.569368538459
WC-2018,2018,Uruguay,2.4,5,1.0,3,1.5,1940.6968808201063
WC-2018,2018,Serbia,1.0,3,,0,2.1,1810.3790350140398
WC-2018,2018,Saudi Arabia,1.0,3,1.0,3,1.7692307692307692,1691.3798751013144
WC-2018,2018,Iceland,0.3333333333333333,3,1.6,5,2.0,1822.3798382569476
WC-2018,2018,England,1.5714285714285714,7,1.25,4,2.3076923076923075,1987.6783335073223
WC-2018,2018,Belgium,2.5714285714285716,7,1.8,5,2.642857142857143,1985.6164365289706
WC-2018,2018,Sweden,1.8,5,0.3333333333333333,3,1.6428571428571428,1833.0347207025834
WC-2018,2018,Mexico,1.5,4,2.0,5,1.826086956521739,1922.238005624292
WC-2018,2018,Colombia,1.75,4,1.6666666666666667,6,1.4,1989.7603221074899
WC-2018,2018,Costa Rica,0.3333333333333333,3,2.0,5,1.8421052631578947,1852.7552034536454
WC-2022,2022,Tunisia,1.3333333333333333,3,1.2,5,2.04,1814.7670003142398
WC-2022,2022,Croatia,1.4285714285714286,7,1.0,4,2.0,1975.304848669111
WC-2022,2022,Wales,0.3333333333333333,3,1.0,4,1.3,1834.1402633590803
WC-2022,2022,Netherlands,2.2,5,2.25,4,2.4,2087.1043263683564
WC-2022,2022,Senegal,1.5,4,2.142857142857143,7,1.9642857142857142,1812.2846967988241
WC-2022,2022,Japan,1.75,4,0.6666666666666666,3,2.3181818181818183,1894.6148837167761
WC-2022,2022,Ecuador,1.3333333333333333,3,0.6,5,1.05,1904.2360293119714
WC-2022,2022,Brazil,2.0,5,2.2857142857142856,7,2.45,2230.7523248949146
WC-2022,2022,Australia,1.5,4,1.4,5,1.9375,1830.1607294244366
WC-2022,2022,Poland,1.0,4,0.3333333333333333,3,1.55,1863.431851589042
WC-2022,2022,Denmark,0.3333333333333333,3,1.5,6,2.1818181818181817,2017.5515913591703
WC-2022,2022,Argentina,2.0,7,2.4285714285714284,7,2.3333333333333335,2195.668460104251
WC-2022,2022,South Korea,1.0,4,2.4,5,2.375,1885.836394049965
WC-2022,2022,Iran,1.0,3,2.1666666666666665,6,2.642857142857143,1897.4683172743112
WC-2022,2022,Switzerland,1.5,4,1.2,5,1.736842105263158,1964.3525836618617
WC-2022,2022,Canada,0.0,3,1.8,5,2.1481481481481484,1896.6741707031827
WC-2022,2022,Spain,1.25,4,1.6666666666666667,6,1.9545454545454546,2099.059023945449
WC-2022,2022,France,2.2857142857142856,7,1.5,4,1.75,2046.6276056379902
WC-2022,2022,Morocco,1.5714285714285714,7,2.0,5,2.4761904761904763,1857.2708102180752
WC-2022,2022,Portugal,1.8,5,1.0,4,1.85,2055.862855440431
WC-2022,2022,Germany,1.3333333333333333,3,1.0,4,1.9,2016.6283069302276
WC-2022,2022,Qatar,0.0,3,2.0,5,2.2857142857142856,1782.7313153081868
WC-2022,2022,Uruguay,1.3333333333333333,3,1.6,5,1.5789473684210527,2005.6634040190654
WC-2022,2022,Serbia,0.3333333333333333,3,,0,2.2,1948.8428608918355
WC-2022,2022,Ghana,1.0,3,0.3333333333333333,3,1.4705882352941178,1677.8040049920846
WC-2022,2022,Saudi Arabia,1.0,3,1.5,4,2.1176470588235294,1749.792448545933
WC-2022,2022,England,2.0,5,2.4285714285714284,7,2.0,1974.0481130606847
WC-2022,2022,Belgium,1.3333333333333333,3,2.4,5,2.0,2064.122253542981
WC-2022,2022,Mexico,1.3333333333333333,3,2.1666666666666665,6,1.9166666666666667,1910.8469156299375
WC-2022,2022,United States,1.25,4,3.0,6,2.12,1898.4681258264382
WC-2022,2022,Costa Rica,1.0,3,2.25,4,1.826086956521739,1864.9336805695714
WC-2022,2022,Cameroon,1.3333333333333333,3,2.142857142857143,7,2.0555555555555554,1715.8838983489761
